packaging_material,submission_id,reporting_period,organisation_id,site_id,nation,packaging_class,activity,weight_tonnes,submission_date
Other,REC-1504-2024-Q1-SITE-C-OT01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-06-21
Glass,REC-1505-2024-Q1-SITE-D-GL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-03-30
Aluminium,REC-1506-Q2 2024-SITE-B-AL01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-03-01
Aluminium,REC-1507-Q4 2024-SITE-A-AL01,,ORG-12345,SITE-A,England,Primary,Exported,,2024-03-15
Plastic,REC-1508-Q4 2024-SITE-D-PL02,,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-05-18
Plastic,REC-1509-2024-Q3-SITE-D-PL02,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-12-25
Fibre-based composite,REC-1510-2024-Q1-SITE-D-FB01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Shipment,Imported,,2024-11-21
Glass,REC-1511-2024-Q1-SITE-E-GL01,2024-Q1,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-11-16
Fibre-based composite,REC-1512-2024-Q1-SITE-B-FB01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-06-17
Fibre-based composite,REC-1513-Q2 2024-SITE-D-FB01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-06-22
Fibre-based composite,REC-1514-Q2 2024-SITE-B-FB01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-12-29
,REC-1515-2024-Q1-SITE-C-UNKNOWN,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-08-09
Plastic,REC-1516-2024-Q1-SITE-D-PL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-12-14
Fibre-based composite,REC-1517-Q4 2024-SITE-Z-FB01,,ORG-12345,SITE-Z,,Secondary,Supplied as goods,,2024-07-23
Wood,REC-1518-Q2 2024-SITE-A-WD01,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-10-13
Fibre-based composite,REC-1519-2024-Q3-SITE-C-FB01,2024-Q3,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-10-04
Wood,REC-1520-Q4 2024-SITE-A-WD01,,ORG-12345,SITE-A,England,Secondary,Supplied as goods,,2024-07-20
Plastic,REC-1521-2024-Q3-SITE-C-PL01,2024-Q3,ORG-12345,SITE-C,Wales,Shipment,Exported,,2024-10-18
Steel,REC-1522-2024-Q3-SITE-D-ST01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-12-05
Plastic,REC-1523-Q4 2024-SITE-E-PL01,,ORG-12345,SITE-E,England,Shipment,Supplied as goods,,2024-04-13
Plastic,REC-1524-Q4 2024-SITE-D-PL02,,ORG-12345,SITE-D,Northern Ireland,Shipment,Supplied as goods,,2024-07-09
Wood,REC-1525-2024-Q1-SITE-A-WD01,2024-Q1,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-07-23
Plastic,REC-1526-2024-Q1-SITE-D-PL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-12-06
Steel,REC-1527-Q4 2024-SITE-A-ST01,,ORG-12345,SITE-A,England,Secondary,Imported,,2024-04-22
Steel,REC-1528-2024-Q3-SITE-A-ST01,2024-Q3,ORG-12345,SITE-A,England,Secondary,Exported,,2024-09-13
Aluminium,REC-1529-2024-Q1-SITE-C-AL01,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Imported,,2024-08-06
Glass,REC-1530-2024-Q1-SITE-B-GL01,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-12-16
Glass,REC-1531-Q2 2024-SITE-A-GL01,2024-Q2,ORG-12345,SITE-A,England,Secondary,Imported,,2024-01-24
Paper/card,REC-1532-Q4 2024-SITE-E-PC01,,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-11-14
Paper/card,REC-1533-2024-Q3-SITE-C-PC01,2024-Q3,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-07-10
Wood,REC-1534-Q2 2024-SITE-B-WD01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-08-01
Steel,REC-1535-2024-Q3-SITE-D-ST01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-04-30
Other,REC-1536-Q4 2024-SITE-D-OT01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-04-03
Glass,REC-1537-2024-Q3-SITE-A-GL01,2024-Q3,ORG-12345,SITE-A,England,Shipment,Imported,,2024-09-22
Aluminium,REC-1538-Q4 2024-SITE-A-AL01,,ORG-12345,SITE-A,England,Secondary,Exported,,2024-05-02
Plastic,REC-1539-Q4 2024-SITE-D-PL02,,ORG-12345,SITE-D,Northern Ireland,Shipment,Imported,,2024-05-05
Fibre-based composite,REC-1540-2024-Q3-SITE-A-FB01,2024-Q3,ORG-12345,SITE-A,England,Shipment,Imported,,2024-10-15
Other,REC-1541-2024-Q3-SITE-D-OT01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-04-04
Glass,REC-1542-Q2 2024-SITE-D-GL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-03-05
Fibre-based composite,REC-1543-Q2 2024-SITE-D-FB01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2024-01-29
Aluminium,REC-1544-Q4 2024-SITE-E-AL01,,ORG-12345,SITE-E,England,Primary,Exported,,2024-06-29
Aluminium,REC-1545-2024-Q1-SITE-C-AL01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-11-17
Fibre-based composite,REC-1546-2024-Q3-SITE-D-FB01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2024-05-16
Glass,REC-1547-2024-Q3-SITE-B-GL01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-01-30
Aluminium,REC-1548-Q2 2024-SITE-B-AL01,2024-Q2,ORG-12345,SITE-B,Scotland,Shipment,Imported,,2024-09-27
Plastic,REC-1549-Q4 2024-SITE-B-PL02,,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-02-19
Plastic,REC-1550-Q4 2024-SITE-E-PL01,,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-02-20
Fibre-based composite,REC-1551-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-02-14
Steel,REC-1552-Q4 2024-SITE-C-ST01,,ORG-12345,SITE-C,Wales,Tertiary,Imported,,2024-10-02
Wood,REC-1553-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-04-10
Paper/card,REC-1554-Q2 2024-SITE-D-PC01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-03-04
Paper/card,REC-1555-2024-Q3-SITE-B-PC01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-06-14
Wood,REC-1556-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Imported,,2024-03-30
Other,REC-1557-2024-Q3-SITE-E-OT01,2024-Q3,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-06-12
Steel,REC-1558-Q4 2024-SITE-D-ST01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-06-13
Glass,REC-1559-2024-Q3-SITE-D-GL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-05-10
Plastic,REC-1560-2024-Q1-SITE-E-PL01,2024-Q1,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-07-19
Other,REC-1561-Q2 2024-SITE-C-OT01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-09-27
Paper/card,REC-1562-Q4 2024-SITE-B-PC01,,ORG-12345,SITE-B,Scotland,Shipment,Imported,,2024-09-18
Fibre-based composite,REC-1563-2024-Q3-SITE-B-FB01,2024-Q3,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-05-08
Glass,REC-1564-2024-Q3-SITE-B-GL01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-09-06
Plastic,REC-1565-2024-Q3-SITE-B-PL01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-01-31
Fibre-based composite,REC-1566-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-08-30
Other,REC-1567-Q2 2024-SITE-B-OT01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-09-04
Glass,REC-1568-Q2 2024-SITE-A-GL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Exported,,2024-02-16
Glass,REC-1569-Q4 2024-SITE-B-GL01,,ORG-12345,SITE-B,Scotland,Shipment,Imported,,2024-03-05
Other,REC-1570-Q4 2024-SITE-B-OT01,,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-08-28
Plastic,REC-1571-Q4 2024-SITE-E-PL02,,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-11-01
Plastic,REC-1572-Q2 2024-SITE-D-PL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Shipment,Imported,,2024-12-05
Wood,REC-1573-Q2 2024-SITE-D-WD01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-09-30
Wood,REC-1574-Q2 2024-SITE-C-WD01,2024-Q2,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-06-03
Other,REC-1575-Q4 2024-SITE-B-OT01,,ORG-12345,SITE-B,Scotland,Shipment,Imported,,2024-06-26
Other,REC-1576-2024-Q3-SITE-D-OT01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-08-28
Paper/card,REC-1577-2024-Q1-SITE-B-PC01,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-05-03
Steel,REC-1578-2024-Q3-SITE-A-ST01,2024-Q3,ORG-12345,SITE-A,England,Shipment,Imported,,2024-05-01
Glass,REC-1579-Q2 2024-SITE-B-GL01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-12-19
Glass,REC-1580-Q2 2024-SITE-C-GL01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-09-12
Steel,REC-1581-Q4 2024-SITE-C-ST01,,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-08-19
Fibre-based composite,REC-1582-Q4 2024-SITE-A-FB01,,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-12-10
Glass,REC-1583-2024-Q3-SITE-B-GL01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2024-07-24
Plastic,REC-1584-Q2 2024-SITE-E-PL01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Imported,,2024-11-26
Other,REC-1585-2024-Q3-SITE-B-OT01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2024-09-16
Wood,REC-1586-2024-Q3-SITE-B-WD01,2024-Q3,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-11-10
Fibre-based composite,REC-1587-2024-Q3-SITE-C-FB01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-06-08
Plastic,REC-1588-Q4 2024-SITE-C-PL02,,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-04-01
Steel,REC-1589-2024-Q3-SITE-B-ST01,2024-Q3,ORG-12345,SITE-B,Scotland,Shipment,Supplied as goods,,2024-10-20
Steel,REC-1590-2024-Q1-SITE-B-ST01,2024-Q1,ORG-12345,SITE-B,Scotland,Shipment,Exported,,2024-06-23
Paper/card,REC-1591-2024-Q3-SITE-B-PC01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-05-10
Wood,REC-1592-2024-Q1-SITE-C-WD01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-03-16
Fibre-based composite,REC-1593-2024-Q1-SITE-E-FB01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Imported,,2024-07-24
Plastic,REC-1594-Q4 2024-SITE-E-PL01,,ORG-12345,SITE-E,England,Shipment,Imported,,2024-11-04
Paper/card,REC-1595-2024-Q1-SITE-E-PC01,2024-Q1,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-04-05
Other,REC-1596-Q2 2024-SITE-E-OT01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-12-30
Fibre-based composite,REC-1597-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Imported,,2024-12-11
Paper/card,REC-1598-Q4 2024-SITE-A-PC01,,ORG-12345,SITE-A,England,Secondary,Exported,,2024-06-13
Plastic,REC-1599-Q4 2024-SITE-C-PL01,,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-05-26
Aluminium,REC-1600-2024-Q3-SITE-B-AL01,2024-Q3,ORG-12345,SITE-B,Scotland,Shipment,Exported,,2024-11-05
Glass,REC-1601-2024Q2-SITE-A-GL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-11-18
Plastic,REC-1602-2024-Q3-SITE-C-PL01,2024-Q3,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-12-16
Aluminium,REC-1603-Q2 2024-SITE-B-AL01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-01-28
Glass,REC-1604-Q4 2024-SITE-A-GL01,,ORG-12345,SITE-A,England,Secondary,Supplied as goods,,2024-04-30
Fibre-based composite,REC-1605-Q4 2024-SITE-B-FB01,,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-03-18
Plastic,REC-1606-Q2 2024-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-09-21
Paper/card,REC-1607-2024-Q3-SITE-A-PC01,2024-Q3,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-03-15
Other,REC-1608-Q4 2024-SITE-D-OT01,,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-07-14
Paper/card,REC-1609-2024-Q1-SITE-B-PC01,2024-Q1,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-12-09
Fibre-based composite,REC-1610-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-05-21
Glass,REC-1611-Q4 2024-SITE-B-GL01,,ORG-12345,SITE-B,Scotland,Shipment,Supplied as goods,,2024-02-15
Aluminium,REC-1612-Q4 2024-SITE-E-AL01,,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-08-16
Glass,REC-1613-2024-Q1-SITE-C-GL01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-01-30
Wood,REC-1614-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-01-28
,REC-1615-2024-Q1-SITE-D-UNKNOWN,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-07-26
Other,REC-1616-2024-Q1-SITE-B-OT01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-02-17
Plastic,REC-1617-2024-Q1-SITE-Z-PL02,2024-Q1,ORG-12345,SITE-Z,,Secondary,Imported,,2024-09-14
Wood,REC-1618-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-09-23
Aluminium,REC-1619-2024-Q1-SITE-B-AL01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-03-03
Fibre-based composite,REC-1620-Q2 2024-SITE-C-FB01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-12-17
Steel,REC-1621-2024-Q3-SITE-B-ST01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-07-24
Glass,REC-1622-2024-Q1-SITE-D-GL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2024-04-17
Plastic,REC-1623-Q4 2024-SITE-B-PL01,,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-01-20
Wood,REC-1624-Q2 2024-SITE-D-WD01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-11-28
Steel,REC-1625-2024-Q3-SITE-E-ST01,2024-Q3,ORG-12345,SITE-E,England,Shipment,Imported,,2024-04-19
Steel,REC-1626-2024-Q3-SITE-A-ST01,2024-Q3,ORG-12345,SITE-A,England,Secondary,Imported,,2024-05-28
Plastic,REC-1627-Q2 2024-SITE-E-PL02,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-05-10
Wood,REC-1628-2024-Q3-SITE-B-WD01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-09-02
Fibre-based composite,REC-1629-Q2 2024-SITE-D-FB01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Shipment,Supplied as goods,,2024-12-28
Aluminium,REC-1630-Q2 2024-SITE-E-AL01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-10-12
Other,REC-1631-Q2 2024-SITE-E-OT01,2024-Q2,ORG-12345,SITE-E,England,Primary,Exported,,2024-04-05
Plastic,REC-1632-Q4 2024-SITE-B-PL02,,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-06-05
Plastic,REC-1633-Q4 2024-SITE-D-PL01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-03-24
Steel,REC-1634-2024-Q1-SITE-B-ST01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-08-12
Glass,REC-1635-Q2 2024-SITE-D-GL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-08-16
Fibre-based composite,REC-1636-Q2 2024-SITE-A-FB01,2024-Q2,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-03-26
Fibre-based composite,REC-1637-Q4 2024-SITE-B-FB01,,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-12-24
Steel,REC-1638-2024-Q3-SITE-E-ST01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-03-07
Wood,REC-1639-Q4 2024-SITE-E-WD01,,ORG-12345,SITE-E,England,Primary,Exported,,2024-02-20
Paper/card,REC-1640-Q4 2024-SITE-A-PC01,,ORG-12345,SITE-A,England,Secondary,Supplied as goods,,2024-11-09
Glass,REC-1641-Q2 2024-SITE-C-GL01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-03-07
Plastic,REC-1642-Q4 2024-SITE-B-PL02,,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-08-23
Fibre-based composite,REC-1643-2024-Q3-SITE-C-FB01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-10-01
Paper/card,REC-1644-2024-Q1-SITE-A-PC01,2024-Q1,ORG-12345,SITE-A,England,Secondary,Exported,,2024-09-19
Aluminium,REC-1645-2024-Q1-SITE-C-AL01,2024-Q1,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-09-20
Other,REC-1646-2024-Q1-SITE-A-OT01,2024-Q1,ORG-12345,SITE-A,England,Shipment,Exported,,2024-12-09
Plastic,REC-1647-Q4 2024-SITE-C-PL02,,ORG-12345,SITE-C,Wales,Shipment,Supplied as goods,,2024-02-04
Paper/card,REC-1648-Q4 2024-SITE-D-PC01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-01-28
Aluminium,REC-1649-2024-Q3-SITE-A-AL01,2024-Q3,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-01-29
Wood,REC-1650-Q2 2024-SITE-C-WD01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Imported,,2024-08-30
Plastic,REC-1651-Q2 2024-SITE-B-PL01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2024-10-21
Paper/card,REC-1652-2024-Q1-SITE-D-PC01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-07-13
Other,REC-1653-2024-Q1-SITE-A-OT01,2024-Q1,ORG-12345,SITE-A,England,Tertiary,Supplied as goods,,2024-08-09
Paper/card,REC-1654-2024-Q3-SITE-B-PC01,2024-Q3,ORG-12345,SITE-B,Scotland,Shipment,Imported,,2024-09-19
Paper/card,REC-1655-2024-Q3-SITE-B-PC01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2024-03-12
Aluminium,REC-1656-Q2 2024-SITE-E-AL01,2024-Q2,ORG-12345,SITE-E,England,Shipment,Imported,,2024-11-26
Plastic,REC-1657-Q2 2024-SITE-C-PL02,2024-Q2,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-07-07
Other,REC-1658-2024-Q3-SITE-A-OT01,2024-Q3,ORG-12345,SITE-A,England,Secondary,Imported,,2024-11-01
Plastic,REC-1659-Q2 2024-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-06-03
Plastic,REC-1660-Q2 2024-SITE-B-PL01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-12-11
Aluminium,REC-1661-Q4 2024-SITE-E-AL01,,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-08-14
Other,REC-1662-Q4 2024-SITE-E-OT01,,ORG-12345,SITE-E,England,Shipment,Exported,,2024-11-04
Fibre-based composite,REC-1663-Q4 2024-SITE-C-FB01,,ORG-12345,SITE-C,Wales,Tertiary,Imported,,2024-07-19
Aluminium,REC-1664-Q2 2024-SITE-C-AL01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-11-06
Glass,REC-1665-Q2 2024-SITE-A-GL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Exported,,2024-07-11
Other,REC-1666-Q4 2024-SITE-D-OT01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-11-12
Fibre-based composite,REC-1667-2024-Q1-SITE-E-FB01,2024-Q1,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-09-15
Glass,REC-1668-2024-Q3-SITE-E-GL01,2024-Q3,ORG-12345,SITE-E,England,Primary,Exported,,2024-01-29
Wood,REC-1669-Q2 2024-SITE-D-WD01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-09-02
Steel,REC-1670-Q4 2024-SITE-B-ST01,,ORG-12345,SITE-B,Scotland,Shipment,Exported,,2024-10-17
Paper/card,REC-1671-2024-Q1-SITE-C-PC01,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-11-24
Plastic,REC-1672-Q2 2024-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Shipment,Imported,,2024-01-30
Wood,REC-1673-Q4 2024-SITE-D-WD01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-07-28
Wood,REC-1674-Q2 2024-SITE-C-WD01,2024-Q2,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-08-22
Steel,REC-1675-Q2 2024-SITE-B-ST01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-12-11
Plastic,REC-1676-2024-Q1-SITE-A-PL02,2024-Q1,ORG-12345,SITE-A,England,Secondary,Imported,,2024-02-14
Paper/card,REC-1677-2024-Q3-SITE-A-PC01,2024-Q3,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-06-19
Plastic,REC-1678-Q2 2024-SITE-B-PL01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-11-27
Wood,REC-1679-Q2 2024-SITE-A-WD01,2024-Q2,ORG-12345,SITE-A,England,Primary,Exported,,2024-07-24
Glass,REC-1680-Q2 2024-SITE-E-GL01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Exported,,2024-01-30
Plastic,REC-1681-2024-Q1-SITE-C-PL01,2024-Q1,ORG-12345,SITE-C,Wales,Shipment,Supplied as goods,,2024-12-29
Glass,REC-1682-Q2 2024-SITE-D-GL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2024-04-03
Paper/card,REC-1683-2024-Q1-SITE-D-PC01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-10-24
Plastic,REC-1684-Q2 2024-SITE-D-PL02,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-02-05
Paper/card,REC-1685-2024-Q1-SITE-E-PC01,2024-Q1,ORG-12345,SITE-E,England,Primary,Imported,,2024-12-15
Paper/card,REC-1686-Q2 2024-SITE-E-PC01,2024-Q2,ORG-12345,SITE-E,England,Shipment,Exported,,2024-06-27
Glass,REC-1687-Q4 2024-SITE-D-GL01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-02-26
Wood,REC-1688-Q4 2024-SITE-E-WD01,,ORG-12345,SITE-E,England,Primary,Imported,,2024-09-25
Steel,REC-1689-2024-Q1-SITE-B-ST01,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-11-10
Other,REC-1690-2024-Q1-SITE-E-OT01,2024-Q1,ORG-12345,SITE-E,England,Primary,Exported,,2024-06-18
Fibre-based composite,REC-1691-Q2 2024-SITE-D-FB01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-07-22
Plastic,REC-1692-2024-Q3-SITE-B-PL01,2024-Q3,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-04-28
Wood,REC-1693-Q4 2024-SITE-A-WD01,,ORG-12345,SITE-A,England,Primary,Exported,,2025-01-01
Plastic,REC-1694-Q4 2024-SITE-B-PL02,,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-07-23
Fibre-based composite,REC-1695-2024-Q3-SITE-E-FB01,2024-Q3,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-12-28
Steel,REC-1696-2024-Q1-SITE-D-ST01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-08-13
Fibre-based composite,REC-1697-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2025-01-03
Fibre-based composite,REC-1698-2024-Q1-SITE-B-FB01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-03-13
Plastic,REC-1699-2024-Q3-SITE-B-PL02,2024-Q3,ORG-12345,SITE-B,Scotland,Primary,Imported,,2025-01-04
Fibre-based composite,REC-1700-2024-Q1-SITE-A-FB01,2024-Q1,ORG-12345,SITE-A,England,Secondary,Exported,,2024-04-27
Plastic,REC-1701-2024Q2-SITE-D-PL02,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Shipment,Imported,,2024-03-12
Aluminium,REC-1702-Q4 2024-SITE-B-AL01,,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-07-22
Wood,REC-1703-Q2 2024-SITE-E-WD01,2024-Q2,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-06-25
Plastic,REC-1704-Q2 2024-SITE-C-PL01,2024-Q2,ORG-12345,SITE-C,Wales,Shipment,Supplied as goods,,2024-09-07
